Certificate,Name,Year,Rating,RatingReason,Studio
66,Trapeze Artist,1972,G,,Columbia Pictures Industries
101,Sin With A Stranger,1968,X,,Paramount Pictures Corp.
104,Charlie Chan On Broadway,1968,G,,Warner Bros./7 Arts
105,Charlie Chan At The Olympics,1968,G,,Warner Bros./7 Arts
107,Stalking Moon,1968,G,,National General
108,Twisted Nerve,1968,M/PG,,National General
109,"Miracle Of Love, The",1968,X,,Times Film Corp.
110,Greetings,1987,R,,Orion Pictures Corp.
111,Swiss Family Robinson,1968,G,,Buena Vista Dist. Co. & Walt Disney Productions
114,Adelaide,1969,R,,Sigma III Corp.
115,Charro,1969,G,,National General
116,"Wanderer, The",1969,G,,Leacock Pennebaker Distribution
118,Follow Me,1969,G,,Cinerama Releasing
119,"Run, Angel, Run",1975,PG,,"Fanfare Corp., The"
120,Benjamin,1969,X,,Paramount Pictures Corp.
121,"Naked Witch, The",1975,R,,Alexander International Films
122,African Safari,1969,G,,"Crown International Pictures, Inc."
123,Daddy's Gone A Hunting,1969,M/PG,,National General Pictures
124,Sweden Heaven & Hell,1983,R,,Embassy Communications
125,I Married You For Fun,1969,X,,Avco Embassy Pictures
126,"Best House In London, The",1969,X,,MGM Film Company
127,Laughter In The Dark,1969,X,,Lopert Pictures
128,Is This Trip Really Necessary?,1969,M/PG,,"Hollywood Star Pictures, Inc."
129,Deadly Sweet,1969,X,,Films Distributing Corp.
130,Scream Free,1971,GP,,Hollywood Star Pictures
133,"Fantastic Plastic Machine, The",1969,G,,"Crown International Pictures, Inc."
135,You Only Love Once,1969,G,,Sigma III Corp.
137,"Gay Deceivers, The",1969,R,,Fanfare Films
138,Blood Of Dracula's Castle,1969,M,,"Crown International Pictures, Inc."
139,Nightmare In Wax,1969,M,,"Crown International Pictures, Inc."
140,Wild Wheels,1969,R,,Fanfare Film
142,Naked Angels,1969,R,,Distributors International
143,Sex Of Angels,1969,X,,United Artists
144,Uncle Tom's Cabin,1969,G,,Kroger Babb & Associates
146,This Is My Alaska,1969,G,,Alaskan Adventures
148,"Love Doctors, The",1970,R,,Sigma III Corp.
149,All Neat In Black Stockings,1969,R,,National General
150,"Babysitter, The",1969,R,,Crown Int'L Pictures
151,"Activist, The",1969,X,,"Universal City Studios, Inc."
152,To Hex With Sex,1969,X,,NMD Film Distribution
153,"Damned, The",1979,R,,Warner Bros. Inc.
154,All The Loving Couples,1972,R,,U-M Film Distributors
155,"House In Naples, A",1969,X,,U-M Film Distribution
156,One Swedish Summer,1972,R,,U-M Film Distributing
157,Loving Feeling,1969,X,,U-M Film Distribution
158,"Cherry, Harry And Raquel",1977,R,,"RM Films International, Inc."
159,"Big Hunt, The",1969,G,,"Crown International Pictures, Inc."
160,Night Of Bloody Horror,1969,R,,Howco International
161,Adalen 31,1969,X,,Paramount Pictures Corp.
162,That Tender Touch,1969,R,,Artisan Productions
163,Friends And Lovers,1969,X,,Stratford Pictures
164,Troika,1969,R,,Emerson Film Enterprises
165,"Dream Of Kings, A",1969,R,,National General Pictures
166,Brother Cry For Me,1969,G,,Jerry Fine Productions
167,Poor Wally,1969,R,,Surety Releasing
168,Mother,1973,R,,Ellman Enterprises
169,Satan's Sadists,1969,R,,Independent-International
170,Two A Penny,1969,G,,World Wide Pictures
171,Make Me A Woman,1969,X,,Joseph Brenner Associates
173,Sinai Commandos,1970,GP,,General Film Corp.
174,What Do You Say To A Naked Lady,1982,R,,MGM/UA Entertainment Co.
175,Cock-A-Doodle-Do,1970,GP,,World Premiere
176,Last Of The Mobile Hotshots,1979,R,,Warner Bros. Inc.
177,Love In Cold Blood,1970,GP,,C-B Productions
178,Monster Zero,1970,G,,United Production Of America
179,War Of The Gargantuas,1970,G,,United Productions Of America
180,Juliette De Sade,1970,R,,Haven International Pictures
181,Luana,1974,G,,Capital Productions
182,"Grasshopper, The",1970,R,,National General Pictures
183,Precious Jewels,1970,X,,Grads Corp.
185,End Of The Road,2010,R,"Rated R for strong disturbing content including an abortion, aberrant sexuality, violent images and brief language.",Warner Home Video
186,Marcy,1970,X,,J.E.R. Pictures
187,Fanny Hill - Memoirs Of A Woman Of Pleasure,1970,GP,,International Film Organization
188,"Scavengers, The",1970,R,,Republic Amusements
189,Monique,1974,R,,Monarch Releasing
190,Togetherness,1970,GP,,General Film Corp.
191,How To Succeed With Sex,1974,R,,Medford Film Corporation
192,Miss Jessica Is Pregnant,1970,R,,Joseph Brenner Associates
193,Guess What Happened To Count Dracula,1970,GP,,Merrick Distributing Corp.
194,"Daddy, Darling",1970,X,,Craddock Films
195,Cindy And Donna,1971,R,,"Crown International Pictures, Inc."
196,Short Is The Summer,1970,GP,,Shaw Film Distributors
197,Walk The Walk,1970,R,,Hallmark Of Hollywood
198,Kill Them All And Come Back Alone,1970,R,,Fanfare Film Productions
199,"Losers, The",1970,R,,Fanfare Films
200,"Hi, Mom!",1970,R,,"Sigma III, Corp."
201,Horror Of The Blood Monsters,1970,GP,,Independent-International
202,Love In The Pacific,1970,GP,,International Film Enterprises
203,"Cheyenne Social Club, The",1970,GP,,National General
204,Flesh Feast,1970,R,,Cine World Corp.
205,"Secret Of The Sacred Forest, The",1970,G,,Shermart Distribution
206,Hell's Bloody Devils,1970,GP,,Independent-International
207,Jud,1971,GP,,Maron Films
208,Rebel Rousers,1970,R,,Excelsior Dist. Co.
209,Weekend With The Babysitter,1970,R,,"Crown International Pictures, Inc."
210,"Cross And The Switchblade, The",1970,GP,,Dick Ross & Associates
211,Part-Time Virgins,1973,R,,Times Films
212,Myra Breckinridge,1978,R,,Twentieth Century Fox Film Corp.
213,"Woman On Fire, A",1970,R,,Ellman Enterprises
214,Sesso--Sexual Inadequacies,1970,X,,"Sherpix, Inc."
215,"Tender Moment, The",1970,GP,,"Maron Films, Ltd."
216,Performance,2006,R,"Rated R for sexual content, nudity, drug material and some violence.",Warner Home Video Inc.
218,"Phantom Of Terror, The",1970,GP,,Twenty First Century Dist.
219,"Two Of Us, The",1970,R,,Boxoffice International
220,Captain Milkshake,1970,R,,TWI National
222,"Right And The Wrong, The",1970,R,,Exquisite Entertainments
223,Blood Mania,1970,R,,"Crown International Pictures, Inc."
224,"Cry Blood, Apache",1970,R,,Golden Eagle International
225,Bigfoot,1970,GP,,Ellman Enterprises
226,Country Music On Broadway,1970,G,,Western International
227,Mondo Cane #1,1970,R,,Cinemation Industries
228,Mondo Cane #2,1970,R,,Cinemation Industries
229,How's Your Love Life?,1970,X,,World Premiere Dist.
230,Carry It On,1970,GP,,United Productions Of America
231,Africa Blood And Guts,1970,R,,Cinemation Industries
232,"Tarzana, The Wild Woman",1970,R,,Ellman Enterprises
234,"Wild Scene, The",1970,R,,Four Star Excelsior
235,"Mighty Gorga, The",1970,G,,Western International
236,"Violent Breed, The",1970,R,,Western International
237,Okay Bill,1970,R,,Four-Star Excelsior
238,Whirlpool,1970,X,,Cinemation Industries
239,"Seducers, The",1985,R,,Joseph Brenner Associates
240,Portraits Of Women,1970,X,,Allied Artists
241,Pound,1970,X,,United Artists
242,Hallucinators,1970,R,,R & S Film Enterprises
243,"Sexorcists, The",1970,R,,Capital Productions
244,Suburban Roulette,1970,R,,Unusual Films International
245,Satanis: The Devil's Mass,1970,X,,"Sherpix, Inc."
246,College For Fun And Profit,1970,R,,"Sherpix, Inc."
247,Women Of Bloody Terror,1970,R,,Howco International
248,Psycho Lover,1970,R,,Medford Film Corp.
249,Perfect Friday,1970,R,,Chevron Films
250,Night Of The Witches,1970,GP,,Medford Film Corp.
251,Dr. Frankenstein On Campus,1970,R,,Medford Film Corp.
252,Sexual Freedom In Denmark,1970,X,,Art Films International
253,"Honeychile, It's The Man From C.O.T.T.O.N.",1970,G,,Howard Mahler Films
254,Sandra,1970,X,,Grads Corp.
255,Cougar Country,1970,G,,American National Enterprises
256,Wilderness Journey,1970,G,,Rainbow Adventures
257,"Great Shikar, The",1970,G,,World Adventures Enterprises
258,Do Not Throw Cushions Into The Ring,1970,R,,Tanhi Productions  - [Production Co.]
259,"Stewardesses, The",1972,R,,"Sherpix, Inc."
260,Yes!,1970,X,,Cannon Releasing Corp.
261,Tristana,2013,PG-13,Rated PG-13 for thematic elements and some disturbing images.,Cohen Film Collection
262,Goin' Down The Road,1971,GP,,J-Cinemax International
263,"Wild And The Dirty, The",1972,PG,,Transvue Pictures
265,"Dean's Wife, The",1970,X,,Perpetual Films
266,Fireball Jungle,1970,R,,American Century Pictures
267,"Curious Female, The",1970,R,,Fanfare Films
268,Stop,1970,X,,Warner Bros. Inc.
269,Sweet Vengeance,1970,X,,Europix Consolidated
270,Thumbelina,1970,G,,R & S Film Enterprises
271,"Delta Factor, The",1973,PG,,Mago Films
272,"Elephant Called Slowly, An",1970,G,,American Continental
273,Every Bastard A King,1970,GP,,Continental Films
274,War And Peace,1970,GP,,Continental Films
275,"White Search, The",1970,G,,Cinema Horizons
276,Sinner's Blood,1970,R,,Hollywood Star Pictures
277,Trader Hornee,1972,R,,Entertainment Ventures
278,Jack And The Beanstalk,1970,G,,R & S Film Enterprises
279,Psychout For Murder,1970,R,,Times Film
280,Glen And Randa,1982,R,,Gold Key Entertainment
281,All The Lovin' Kinfolk,1970,R,,Lima Productions
282,Santa And The Three Bears,1970,G,,R & S Film Enterprises
283,"Attack At Noon, Sunday",1971,GP,,
284,Soul Soldier,1970,GP,,Fanfare Films
285,Good Morning And Goodbye,1970,R,,"Eve Productions, Inc."
286,Common Law Cabin,1970,R,,Eve Productions
287,Three-Cornered Bed,1972,R,,J.E.R. Pictures
288,"Erotic Adventures Of Pinocchio, The",1977,R,,Lima Productions
289,Machismo,1970,R,,Boxoffice International
290,Kama Sutra,1971,R,,United Producers
291,"Twelve Chairs, The",1970,G,,United Artists Classics
292,First Love,1970,R,,UMC Pictures
293,Let It All Hang Out,1970,R,,Atco Gibraltar Corp.
294,Stranger In Hollywood,1970,GP,,"Roda Productions, Inc."
295,"Scream Of Terror, The",1970,R,,"Crown International Pictures, Inc."
296,Faces,1970,R,,Castle Hill Productions
297,Johnny Cash,1970,GP,,American Continental Films
298,Naked Are The Cheaters,1970,X,,Fountain Films  - [Production Co.]
299,Madron,1970,GP,,Four Star Excelsior Releasing
300,Ransom Money,1970,GP,,Instant Distributors Division
301,Groupies,1970,X,,Maron Films Ltd.
302,"Night Visitor, The",1970,GP,,UMC Pictures
303,"Golden Box, The",1973,R,,Donald A. Davis Productions
304,Derby,1971,GP,,Cinerama Releasing
305,Crazed,1970,X,,"Cinar Productions, Inc."
306,Didn't You Hear,1970,GP,,Sherwood Productions
307,Love And Kisses,1973,R,,Cineworld Corp.
308,"Only Way, The",1970,G,,UMC Pictures
309,Bombay Talkie,1970,GP,,"Dia Films, Inc."
310,"Girls From Thunderstrip, The",1971,R,,Cal-Tex Distributing Company
311,Dirtymouth,1971,R,,Howard Mahler Films
312,Sexy Susan,1971,R,,Futurama
313,"Secretary, The",1971,R,,Atco Gibraltar
315,I Eat Your Skin,1971,GP,,Cinemation Industries
316,I Drink Your Blood,1971,R,,Cinemation Industries
318,"French Cousins, The",1971,X,,Cinemation Industries
319,Trail Of The Hunter,1971,GP,,North West Cinema
320,"Projectionist, The",1971,GP,,Maron Films Limited
321,Walk On The Hot Streets,1971,R,,Artists Int'l. Distribution
322,Bunny And Clod,1971,X,,Grads Corporation
323,"Body, The",1971,X,,MGM Film Company
324,Wild Riders,1971,R,,"Crown International Pictures, Inc."
325,"Shooting, The",1971,G,,Jack Harris Enterprises
326,My Secret Life,1971,X,,Jack Harris Enterprises
327,Ride In The Whirlwind,1971,G,,Jack Harris Enterprises
328,Sweet Baby Charlie,1971,R,,Cinemation Industries
330,Permissive,1971,X,,"Variety Films, Inc."
331,"Garden Of Delights, The",1971,GP,,Altura Films International
332,Witchcraft '70,1974,R,,American International Pictures
333,"Red, White And Blue",1971,X,,Entertainment Ventures
334,Zapata,1971,R,,"Producciones Aguila, S.A."
335,Mantis In Lace,1971,R,,Boxoffice International
336,Snuff,1971,X,,Monarch Releasing
337,Chain Gang Women,1971,R,,"Crown International Pictures, Inc."
339,Not My Daughter,1971,R,,Seymour Borde & Associates
340,"Low Price Of Fame, The",1971,R,,Artists International Distributors
341,"Quick, Let's Get Married",1971,GP,,Adrian Weiss
342,Carnival Of Blood,1971,GP,,Kirt Films International
343,This Stuff 'll Kill Ya!,1971,GP,,Ultima Film Distributors
344,Beast Of The Yellow Night,1971,R,,Twenty First Century Dist.
345,Beyond Love And Evil,1971,X,,Allied Artists
346,Treasure Island,1971,G,,Trans Nat'l. Film Corp.
347,Blood Thirst,1971,GP,,Chevron Pictures
348,Bloodsuckers,1971,R,,Chevron Pictures
349,Tender Warrior,1971,G,,William Thompson International
350,Topele,1971,G,,"Films-As-Life, Inc."
351,"Young Graduates, The",1971,GP,,"Crown International Pictures, Inc."
352,"Big Doll House, The",1971,R,,New World Pictures
353,"Undercover Scandals Of Henry VIII, The",1971,X,,All-State International
355,"Weekend With Strangers, A",1971,X,,Chancellor Films
356,Maniacs On Wheels,1971,G,,Cinemation Industries
357,"Corpse Grinders, The",1971,R,,"Motion Picture Marketing, Inc."
358,Enjoy,1971,X,,Ellman Film Enterprises
359,Creature With The Blue Hand,1971,GP,,New World Pictures
360,Outlaw Riders,1971,GP,,Ace International
361,Leap Into Hell,1971,R,,Unisphere Releasing
362,"Secret Places, Secret Things",1971,X,,Grads Corp.
364,Hell On Wheels,1971,G,,"Crown International Pictures, Inc."
365,Catalina Caper,1971,G,,"Crown International Pictures, Inc."
367,G.I. Executioner,1971,R,,"Troma, Inc."
368,Fairplay,1971,G,,Charles Conner Productions
369,"Caribbean Fox, The",1971,R,,Exquisite Entertainments
370,Jane Eyre,1971,G,,AAFMPS
371,Bedroom Magic,1976,R,,Clamil Productions
372,Erotic Salad,1971,X,,Variety Films
373,Strawberries Need Rain,1971,R,,Dal- Art
374,"Simon, King Of The Witches",1971,R,,Fanfare Films
375,Swamp Girl,1971,GP,,Donald A. Davis Productions
376,Nana,1971,X,,National General
377,S.L.I.P.,1971,R,,Tenth House Productions
378,Tom Jones Rides Again,1971,X,,Leon Film Enterprises
379,"Secret Life Of A School Girl Wife, The",1971,R,,Sterling Productions  - [Production Co.]
380,Hot Pants Holiday,1972,R,,Avco Embassy Pictures
381,Frankenstein's Bloody Terror,1971,GP,,Independent-International
382,Superargo And The Faceless Giants,1971,G,,Fanfare Corp.
383,"Velvet Vampire, The",1971,R,,New World Pictures
384,"Bang Bang Gang, The",1971,R,,Eden International Films
385,Bad Girls,1971,R,,Enterprises Productions
386,Mona's Place,1983,R,,Lima Productions
387,"Astro-Zombies, The",1971,GP,,Jack Harris Enterprises
388,Cut Throats,1971,R,,Lima Productions
389,Quadroon,1971,R,,Starline Pictures
390,Wanda,1971,GP,,Artists Int'L. Distribution
391,Private Duty Nurses,1971,R,,New World Pictures
393,"Dirty Outlaws, The",1971,R,,Transvue Pictures
394,"Bamboo Incident, The",1971,GP,,Transvue Pictures
395,Femmina,1971,GP,,Manson Distribution
396,"Zodiac Killer, The",1971,R,,Adventure Productions
397,"Keeler Affair, The",1971,GP,,Leon Films Enterprises
398,"Challenges, The",1971,GP,,Shermart Distributing Company
399,"Female Bunch, The",1971,R,,Dalia Productions  - [Production Co.]
400,Swedish Fly Girls,1971,R,,American International Pictures
401,"From Africa, With Love",1971,G,,Shermart
403,"Libertine, The",1971,R,,Audubon Films
404,"Sins Of The Daughter, The",1971,R,,Grads Corp.
405,Wanderlove Story,1971,R,,"Idalene, Inc."
406,"Peace Killers, The",1971,R,,Transvue Pictures
407,Scream Of The Demon Lover,1971,R,,New World Pictures
408,Lovers' Ecstasy,1971,X,,Trans-American Film
409,"Bus Is Coming, The",1971,GP,,NOT SET
410,"Windsplitter, The",1971,GP,,Futurama
411,"Minx, The",1971,R,,Cambist Films
412,"Female, The",1971,R,,Cambist Films
413,"Reincarnate, The",1971,GP,,Tower Productions
414,Women In Cages,1971,R,,New World Pictures
415,Daughters Of Darkness,1971,R,,Maron Films Limited
416,"Indelicate Balance, The",1971,R,,Cinevision
417,Paradisio,1971,R,,"Jack H. Harris Enterprises, Inc."
418,Master Of Horror,1971,GP,,Jack Harris Enterprises
420,"Now People, The",1971,R,,Donkey International
421,Watch Out For The Bummer,1971,R,,Unusual Films
422,Ravaged,1971,GP,,Winner I Productions
423,"In The Fall Of '55, Eden Cried",1971,GP,,Idalene Inc.
424,Island Of The Burning Damned,1971,GP,,Maron Films Ltd.
425,Blood Of The Man Devil,1971,GP,,Medallion T.V. Enterprises
426,She Was A Hippy Vampire,1971,G,,ADP Productions
427,Love Me Like I Do,1971,R,,Hollywood Cinemart
428,"Alaska, America's Last Frontier",1971,G,,Bowling Films
429,"Frightened Woman, The",1971,R,,Audubon Films
430,Lickerish Quartet,1971,R,,Audubon Films
431,To Find A Rainbow,1971,G,,American National
432,Tears Of Gaiety,1971,X,,Dan-Glenn Productions  - [Production Co.]
433,"Touch Of Satan, The",1971,GP,,Futurama International
434,"Devils, The",1979,R,,Warner Bros. Inc.
435,Johnny Got His Gun,1971,GP,,Cinemation Industries
436,"Telephone Book, The",1971,X,,NOT SET
437,"Pink Garter Gang, The",1971,GP,,Futurama International
438,Daughters Of Joy,1971,R,,Cal-Tex Distribution
439,"Minya, Son Of Godzilla",1971,G,,Maron Films Limited
440,Naked And Free...The New Life Style,1971,X,,Dot Distributing Corp.
441,Sappho Darling,1973,R,,Cambist Films
442,"Sensual Male, The",1971,X,,Institute For Adult Education
443,Coed Dorm,1973,R,,Ellman Film Enterprises
444,Captain Apache,1971,GP,,Scotia International
445,"Notorious Daughter Of Fanny Hill, The",1971,X,,Entertainment Ventures Inc.
446,Dracula vs. Frankenstein,1971,GP,,Independent-International Pictures Corp.
447,"Single Room, Furnished",1971,GP,,"Crown International Pictures, Inc."
448,Terror In The Jungle,1971,GP,,"Crown International Pictures, Inc."
449,"Hellcats, The",1971,R,,"Crown International Pictures, Inc."
450,"Fulfillment, Something Worth Remembering",1971,R,,Charles Connor Distributing Co
451,To Be Free,1971,R,,Emerson Film Enterprises
452,Doomsday Voyage,1971,R,,Futurama International
453,Head On,1971,GP,,Leon Film Enterprises
454,Aggie,1971,X,,Pyramid Productions
455,"Wild Rebels, The",1971,R,,"Crown International Pictures, Inc."
456,Indian Paint,1971,G,,"Crown International Pictures, Inc."
457,Vanessa,1971,X,,"Variety Films, Inc."
458,Tokoloshe,1971,G,,Artists International Distributor
459,Vixen,1997,Unrated,,RM Films International
460,B.J. Lang Presents,1971,R,,Maron Film Ltd.
461,Rain For A Dusty Summer,1971,GP,,Do/Bar Productions  - [Production Co.]
462,"Love Thrill Murders, The",1976,R,,"Troma, Inc."
463,Sacco And Vanzetti,1971,GP,,UMC Pictures
464,Love Is Catching,1971,R,,Moonstone Releasing
465,Black Jesus,1971,GP,,Plaza Pictures
466,"Resurrection Of Zachary Wheeler, The",1971,G,,Gold Key Entertainment
467,Winter In Mallorca,1971,GP,,Films Around The World
468,"Kingdom In The Clouds, The",1971,G,,Xerox Films
469,Wild Women,1971,R,,Independent-International
470,Millhouse: A White Comedy,1971,G,,New Yorker Films
471,"Human Race, The",1971,GP,,R & S Film Enterprises
472,"Helter Skelter Murders, The",1972,R,,Prestige Pictures Releasing Co
473,"Dirty Movie, The",1971,X,,Alpha Omega Productions  - [Production Co.]
474,Blue Hour,1971,X,,Grads Corp.
475,Squares,1971,GP,,Plateau Productions  - [Production Co.]
476,"Pamela, Pamela, You Are...",1971,X,,Edward Jacobs
477,"Marsha, The Erotic Housewife",1972,R,,Donald A. Davis Productions
478,"Gingerbread Man, The",1971,G,,R & S Film Enterprises
479,Gabriella,1971,R,,"Kepi Enterprises, Inc."
480,Dinah East,1971,X,,"Emerson Film, Inc."
481,One On Top Of The Other,1971,R,,G.G.P. Releasing
483,Dagmar's Hot Pants,1972,R,,American International Pictures
484,Sweetkill,1971,R,,Tamarac Productions
485,Moonlighting Mistress,1971,R,,"Dalia Productions, Inc."
486,Teenage Mother,1971,GP,,Cinemation Industries
487,"Ton Of Grass Goes To Pot, A",1971,GP,,NOT SET
488,Tonite...I Love You,1974,R,,Hollywood International
489,"Night God Screamed, The",1971,GP,,Cinemation Industries
490,Caged Men,1971,R,,H.H. Thomas Enterprises
491,Getting High,1973,R,,Cinepix - U.S.A.
492,Find A Place To Die,1971,R,,G.G. Production
493,Hatchet For A Honeymoon,1971,GP,,G.G. Releasing
494,"Genesis Children, The",1971,X,,NOT SET
495,Super Seven Calling Cairo,1971,GP,,Telewide Systems
496,"Runaway, The",1971,R,,"Group I Films, Inc."
497,Fountain Of Love,1971,R,,"Crown International Pictures, Inc."
498,Diabolic Wedding,1971,R,,Ellman Enterprises
499,"Stepmother, The",1971,R,,"Crown International Pictures, Inc."
500,Exchange Student,1971,G,,
501,Wilbur And The Baby Factory,1971,X,,Boxoffice International
503,Four Times That Night,1971,R,,Interpictures Inc.
504,Vengeance,1971,GP,,Cinevision Films Ltd.
505,Blindman,1971,R,,Twentieth Century Fox Film
506,Boot Hill,1971,GP,,Film Ventures International
507,Eagle In A Cage,1971,GP,,National General
508,"Rats Are Coming! The Werewolves Are Here!, The",1971,GP,,William Mishkin Mot. Pictures
509,Man With Two Heads,1971,GP,,William Mishkin
510,"Next Victim, The",1971,R,,Maron Films Limited
511,"Godson, The",1971,GP,,Artists International Distributor
512,King Lear,2012,PG-13,Rated PG-13 for some violent content.,MGM Home Entertainment LLC
513,Relations,1971,R,,Cambist Films
514,Tower Of The Screaming Virgins,1971,R,,Maron Films Limited
515,Here Comes That Nashville Sound,1971,G,,Donald L. Davis Productions
516,"Hitchhikers, The",1971,R,,Entertainment Ventures
517,"Affair, The",1971,R,,Cambist Films
518,"Daisy Chain, The",1971,X,,Hollywood Cinema
519,"Muthers, The",1971,X,,Hollywood Cinema
520,Legend Of Horror,1972,R,,Ellman Enterprises
521,Invasion Of The Blood Farmers,1972,GP,,NMD Film Distribution Co. Inc.
522,"Fifth Day Of Peace, The",1972,GP,,Scotia International
523,"Deathmakers, The",1972,GP,,Gamalex & Associates
524,Lady Frankenstein,1972,R,,New World Pictures
525,Fritz The Cat,2001,Unrated,,
526,Run Before The Wind,1972,R,,Cinemation Industries
527,Cheers To Cyanide,1972,GP,,Roma Films
528,House Of Strange Love,1972,X,,United Producers Organization
529,What The Peeper Saw,1972,R,,Avco Embassy Pictures
530,Good-By Fat Larry,1972,R,,Mushroom Productions  - [Production Co.]
531,Eggshells,1972,R,,Genesis Releasing
532,Detention Girls,1972,X,,Sam Lake Enterprises
533,Escape To Passion,1972,X,,Grads Corp.
534,Hot Box,1972,R,,New World Pictures
535,"Gatling Gun, The",1972,PG,,Western International
536,Face Off,1972,PG,,Cannon Releasing Corp.
537,"Day Of The Wolves, The",1972,G,,Gold Key Entertainment
538,Death By Invitation,1972,R,,Paragon Pictures
539,Twilight People,1972,PG,,Twenty First Century Dist.
540,"Gore-Gore Girls, The",1972,X,,Lewis Mot. Pic. Enterprises  - [Production Co.]
541,On The Line,1972,G,,Interwest Film Corp.
542,"Green Wall, The",1972,R,,Altura Films
544,"Man For Hanging, A",1972,PG,,Artists International
545,I Need A Ride To California,1972,PG,,Cinevision Films
546,Nightmare County,1973,R,,Intercontinental Releasing
547,"Red Mantle, The",1972,R,,Cinevision Films
548,Suburban Wives,1972,R,,Scotia International Pictures
549,One Brief Summer,1972,R,,Cinevision Films
550,Dream No Evil,1973,PG,,"Clover Films, Inc."
551,"E Box, The",1972,PG,,"Power And Communications, Inc. - [Production Co.]"
552,Revenge Is My Destiny,1972,PG,,Gold Key Entertainment
553,"Dead Are Alive, The",1972,R,,National General
554,"Dune Roller, The",1972,PG,,New World Pictures
555,Mothers Of America,1972,R,,Fine Products
556,"Sin Of Adam And Eve, The",1972,R,,Twenty First Century Dist.
557,Beyond The Fog,1972,R,,Fanfare Corp.
558,"Proud And The Damned, The",1972,PG,,Prestige Pictures
559,"Werewolf Versus The Vampire Woman, The",1972,R,,Ellman Enterprises
560,Voodoo Heartbeat,1972,R,,TWI National
561,Night Of The Cobra Woman,1972,R,,New World Pictures
562,"Nashville Story, The",1972,G,,Donald A. Davis Productions
563,Top Of The Heap,1972,R,,Fanfare Corp.
564,"Dirtiest Girl I Ever Met, The",1972,R,,American International Pictures
565,Love On Wheels,1972,R,,Hollywood International Film
566,Dear Dead Delilah,1972,R,,Southern Star Productions
567,Stamping Ground,1972,R,,Fine Films
568,Contract: Kill,1972,R,,"New American Films, Inc."
569,Companeros,1972,R,,Cinerama Releasing
570,Chaingang Girls,1972,R,,"Motion Picture Marketing, Inc."
571,Miss Leslie's Dolls,1972,R,,World Wide Films
572,Hot Summer Week,1972,PG,,Fanfare Corp.
573,Night Call Nurses,1972,R,,New World Pictures
574,How To Make Love To A Virgin,1972,R,,Sunset International Releasing
575,"Daredevil, The",1972,PG,,Transinternational Films
576,Three Bullets For A Long Gun,1972,PG,,"Maron Films, Ltd."
577,"Doberman Gang, The",1973,G,,Dimension Pictures
578,Weed,1972,PG,,"Sherpix, Inc."
579,Curse Of The Headless Horseman,1972,PG,,Kirt Films International
580,"Big Bird Cage, The",1972,R,,New World Pictures
581,Things From The Grave,1972,PG,,Geneni Distributing
582,Diary Of A Telephone Operator,1972,PG,,G.G.P. Releasing Company
583,"Thing With Two Heads, The",1972,PG,,American International Pictures
584,Salt In The Wound,1972,PG,,Stellar IV Film Corp.
586,Gay Liberation,1972,R,,"Idalene, Inc."
587,Marta,1972,R,,GGP Releasing
588,Mondo Hunt,1972,PG,,"Moonstone, Inc."
589,Housewife,1972,R,,Jack Harris Enterprises
590,Kongi's Harvest,1972,G,,U.M. Film Distribution
591,Terror House,1976,PG,,Intercontinental Releasing
592,Toys Are Not For Children,1972,R,,Headway Films
593,"Virgin Witch, The",1972,R,,Joseph Brenner Associates
594,Night Of The Bloody Apes,1972,R,,Clover Films
595,Commandos,1972,PG,,Stellar IV Film Corp.
596,Group Marriage,1972,R,,Twenty First Century Dist.
597,Snuff Is My Game,1972,R,,Hallmark Releasing
598,Woman Hunt,1972,R,,New World Pictures
599,Blood Orgy Of The She Devils,1972,PG,,Geneni Film Distribution
600,"Only Way Home, The",1972,PG,,Washita Films
601,"Butterfly, The",1972,R,,Audubon Films
602,Born Black,1972,R,,Hallmark Releasing
603,"Bengal Tiger, The",1972,G,,Globe International
604,"Castle Of Fu Manchu, The",1972,PG,,International Cinema
605,Two Hustlers From Amsterdam,1972,R,,Hallmark Releasing
606,Dead End Dolls,1972,R,,Producers Distributing
607,Break Loose,1972,R,,Cinerama Releasing
608,Ginger,1972,R,,Joseph Brenner Associates
609,Bonnie's Kids,1972,R,,General Film Corp.
610,"Body Shop, The",1972,X,,Variety Films
611,Rip Off,1972,R,,J-Cinemax International Releasing
612,"Butterfly Affair, The",1972,PG,,Berns International
613,"Adult Workshop Of Love, The",1972,X,,Hallmark Releasing
614,Her She Him,1972,R,,Audubon Films
615,Blood Queen,1972,R,,Audubon Films
616,Brother Of The Wind,1972,G,,"Jensen Farley Pictures, Inc."
617,White Justice,1972,R,,Modern Art Productions
618,"Blind Dead, The",1972,PG,,Hallmark Releasing
619,"Night Evelyn Came Out Of The Grave, The",1972,R,,Phase I Films
620,Together,1972,R,,Hallmark Releasing
621,Shantytown Honeymoon,1972,R,,Craddock Films
622,Did Baby Shoot Her Sugar Daddy?,1972,R,,Hollywood Cinemart
623,Cut-Throats 9,1972,R,,United International Pictures
624,War Devils,1972,PG,,Goldstone Film Enterprises
625,Scream Bloody Murder,1972,R,,Indepix Releasing
626,Tales Of The Bizarre,1972,R,,Fanfare Film Productions
627,Alf 'N' Family,1972,PG,,"Sherpix, Inc."
628,Pancho Villa,1972,PG,,Scotia International
629,Premonition,1972,PG,,Transvue Pictures Corp.
